Indicator,Type,Malware Families,Related Actors,Related Reports,Kill Chain
156.146.60.90,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
188.126.89.149,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
zomanob.yoyep.co.za,Domain,PdfCaptchaLure21,--,--,Installation
mobexe.oalroax.com,Domain,PdfCaptchaLure21,--,--,Installation
starlannew4.shop,Domain,Octo,--,--,--
starlanneras4.shop,Domain,Octo,--,--,--
starlannewds4.shop,Domain,Octo,--,--,--
starlannewfr4.shop,Domain,Octo,--,--,--
asdasdasdqf.duckdns.org,Domain,AsyncRAT,--,--,--
starkanancapy.com,Domain,Octo,--,--,--
akardanalar4.shop,Domain,Octo,--,--,--
yarakaradangel2.shop,Domain,Octo,--,--,--
kabaklardangel3.shop,Domain,Octo,--,--,--
5.181.236.12,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
49.13.171.182,IP Address,Rhadamanthys,--,--,Command & Control (C2)
mebr.layout.oystergardens.us,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
46.102.174.7,IP Address,Keyplug,HORDE PANDA,--,--
tvfmrp.com,Domain,Keyplug,HORDE PANDA,--,--
grunzalom.fun,Domain,Lotus,LUNAR SPIDER,--,--
titnovacrion.top,Domain,Lotus,LUNAR SPIDER,--,--
gonzales2024.kozow.com,Domain,Remcos,--,--,--
121.133.30.10,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
dispossessor.com,Domain,--,BRAIN SPIDER,--,--
dispossessor-cloud.com,Domain,--,BRAIN SPIDER,--,--
cybertube.video,Domain,--,--,--,--
strekhost2084.con-ip.com,Domain,AsyncRAT,--,--,--
dwob.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
strekhost2088.con-ip.com,Domain,AsyncRAT,--,--,--
31.192.107.162,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
74.207.230.242,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
3.17.11.210,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
104.237.131.212,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
3.135.233.216,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
104.237.139.231,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
3.136.116.206,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
38.54.104.239,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
gameover4.from-tn.com,Domain,"Chipotle, Culebra",--,--,--
